fips_code,flag,section_title,matched,snippet,historical_marker,widening,county_name,tier
06105,has_timber,Transportation,logging,"tion Timelapse of section of Trinity County, California, looking at evidence of clear-cut logging over the years 1972–1994. Data from Landsat satellites. Trinity Transit provides weekday ",True,economy -> economy_plus,"Trinity County, California",rich
22085,has_agriculture,Railroads,agriculture,"the founding of the towns of Converse , Zwolle , Fisher and Florien . The area was mainly agriculture until the railroads brought lumbermen, who set up sawmills to convert the trees that blan",True,economy -> economy_plus,"Sabine Parish, Louisiana",mid
13267,has_agriculture,Government and infrastructure,farmland,"f the Fort Stewart Army Reservation which is based in Hinesville, GA. Originally this was farmland purchased by the Army during and after World War II. It has since been turned into forest",True,economy -> economy_plus,"Tattnall County, Georgia",mid
25019,has_logistics,Transportation,freight,necting Nantucket town to Surfside and later to Siasconset. It served both passengers and freight but was eventually shut down due to financial difficulties and the rise of alternative tr,True,economy -> economy_plus,"Nantucket County, Massachusetts",rich
51810,has_mining,Infrastructure,coal,"Power which has local sources including the Chesapeake Energy Center (a gas power plant), coal-fired plants in Chesapeake and Southampton County , and the Surry Nuclear Power Plant. No",False,economy -> economy_plus,"Virginia Beach City, Virginia",rich
17019,has_logistics,Transportation,freight,"linois Central mainline, which is owned by the Canadian National Railway and also used by freight trains. The Norfolk Southern Railway operates two branch lines in Champaign County: the M",False,economy -> economy_plus,"Champaign County, Illinois",thin
26165,has_agriculture,Tourism,agricultural," arena, 300 capacity hockey facility, 300 capacity grand stand, and several buildings for agricultural shows and expos.",False,economy -> economy_plus,"Wexford County, Michigan",rich
06081,has_timber,Transportation,lumber," Bay is the Port of Redwood City , situated along Redwood Creek , originally created as a lumber embarcadero in 1850. The San Mateo Harbor Harbor District manages the Pillar Point Harbor",True,economy -> economy_plus,"San Mateo County, California",rich
24031,has_agriculture,Transportation,crops,"nsportation was a hindrance for Montgomery County's farmers who wanted to transport their crops to market in the early 18th century. Montgomery County's first roads, often barely adequa",True,economy -> economy_plus,"Montgomery County, Maryland",rich
41033,has_logistics,Transportation,freight,"Transportation Initially, freight was brought into Josephine County by pack train . As the trails improved, freight wagons ",True,economy -> economy_plus,"Josephine County, Oregon",mid
26081,has_logistics,Transportation,freight,heir excursion service between their namesake cities in Ottawa County than on their small freight business in Kent. Highways I-96 I-196 (Gerald R. Ford Freeway) I-296 ( concurrent with US,False,economy -> economy_plus,"Kent County, Michigan",rich
27137,has_timber,Government,forestry,"ording to exit polls, this was due to residents' concerns about the decline of mining and forestry in the county. This was the closest that a Republican had come to winning the county sinc",True,economy -> economy_plus,"St. Louis County, Minnesota",rich
36111,has_tourism,Recreation,vacation,"h Congressional District to run for Congress. Ulster County has continued to be a popular vacation destination for many decades. The county is home to many outdoor landscapes, including th",False,economy -> economy_plus,"Ulster County, New York",thin
24001,has_agriculture,Transportation,agricultural,"int in the movement of goods and people to and from the ports of the Mid-Atlantic and the agricultural and industrial production centers of the Ohio Valley and Midwest. The Cumberland Narrows,",False,economy -> economy_plus,"Allegany County, Maryland",mid
22003,has_timber,Arts and culture,timber,oor balcony to deliver their babies. The museum focuses on the history of agriculture and timber .,False,economy -> economy_plus,"Allen Parish, Louisiana",mid
36111,has_mining,Recreation,coal, the Catskill Forest Preserve . The former Delaware and Hudson Canal brought Pennsylvania coal to Kingston on the Hudson. Former Orleans band member John Hall served in the Ulster Coun,False,economy -> economy_plus,"Ulster County, New York",thin
34013,has_logistics,Transportation,freight,"y Bridge , a vertical-lift bridge located just north of the Newark Bay Bridge , carries a freight train line over the bay from Newark to Bayonne . The PD Draw is an abandoned and partiall",True,economy -> economy_plus,"Essex County, New Jersey",rich
05147,has_agriculture,Infrastructure,agricultural,"own/public use airport in the county. It is a general aviation airport, serving primarily agricultural (spraying) and recreational operations. For the twelve-month period ending June 30, 2014,",False,economy -> economy_plus,"Woodruff County, Arkansas",rich
12109,has_logistics,Transportation,freight,"SR 206 SR 207 SR 312 Dixie Highway Railroads The Florida East Coast Railway provides rail freight services through the county, however the only industries served by the line are a concret",False,economy -> economy_plus,"St. Johns County, Florida",rich
13213,has_timber,Railroad,timber,"lroad. One of these new towns was named Chatsworth . With the new railroad line in place, timber could be shipped out of the mountains, and talc deposits, discovered in the 1870s, were a",True,economy -> economy_plus,"Murray County, Georgia",thin
37099,has_logistics,Transportation,freight,"rom Sylva to Murphy. Despite widespread restructuring in the industry across the country, freight commercial service continued another forty-odd years before ending in 1983. In 2015, Watc",True,economy -> economy_plus,"Jackson County, North Carolina",rich
06071,has_mining,Arts and culture,mining,"ger-led tours to learn about the cultural history of Keys Ranch, Native American history, mining, ranching, homesteading, the Keys family, and the site's transition into a protected hist",False,economy -> economy_plus,"San Bernardino County, California",rich
25019,has_tourism,Arts and culture,resort,ly Quaker community through its prominence as a whaling center and later development as a resort. Andrew Hussie 's 2021 visual novel Psycholonials takes place in 2020 on Nantucket. In th,False,economy -> economy_plus,"Nantucket County, Massachusetts",rich
39165,has_logistics,Transportation,freight," Canal did operate in the 19th century as a branch of the Miami and Erie Canal , bringing freight to Lebanon by canal boat . Recreationally, the Little Miami River can be traveled by cano",False,economy -> economy_plus,"Warren County, Ohio",rich
18165,has_manufacturing,Transportation,factory,"Railroad passes through the very north edge of the county on its way from the Flex-N-Gate factory west of Covington to Danville, Illinois. Airport The county has three small airports, the",False,economy -> economy_plus,"Vermillion County, Indiana",rich
12017,has_logistics,Transportation,freight,ver Airport and Inverness Airport . Railroads One rail line operates within the county: A freight line to the Crystal River Energy Complex in northern Citrus County. Other lines that used,False,economy -> economy_plus,"Citrus County, Florida",thin
13039,has_logistics,Transportation,freight,"lel to Georgia State Route 40, and includes a roughly four-mile spur providing occasional freight service to the Naval Submarine Base Kings Bay .",False,economy -> economy_plus,"Camden County, Georgia",mid
37087,has_logistics,Transportation,freight,sportation Rail line in Canton The Blue Ridge Southern Railroad operates a rail line with freight service through Haywood County. Major highways I-40 US 19 US 19 Truck US 23 US 23 Bus. US,False,economy -> economy_plus,"Haywood County, North Carolina",thin
12069,has_tourism,Transportation,tourist,"yet-to-be built commuter line called the Orange Blossom Express since 2009. A short-lived tourist railroad named Tavares, Eustis and Gulf Railroad existed between 2011 and 2017.",False,economy -> economy_plus,"Lake County, Florida",thin
51770,has_tourism,Arts and culture,tourist,"m engines. A 2013 fundraising campaign led to the engine's refurbishment, and it now does tourist excursion runs when not home at the museum. In addition to its rail exhibits, the museum ",False,economy -> economy_plus,"Roanoke City, Virginia",rich
36047,has_logistics,Transportation,shipping,"ridge connecting Brooklyn to the Rockaway Peninsula . Waterways Brooklyn was long a major shipping port, especially at the Brooklyn Army Terminal and Bush Terminal in Sunset Park . Most co",True,economy -> economy_plus,"Kings County, New York",rich
11001,has_oil_gas,Infrastructure,natural gas,o bury more lines underground; construction started in 2019. Washington Gas is the city's natural gas utility and serves more than a million customers in the district and its suburbs.,False,economy -> economy_plus,District of Columbia,rich
12035,has_logistics,Transportation,freight, SR 11 SR 20 SR 100 FEC locomotive 920 Other The Florida East Coast Railway provides rail freight services in the county. The Intracoastal Waterway runs just in from the coast in eastern ,False,economy -> economy_plus,"Flagler County, Florida",mid
36061,has_oil_gas,Infrastructure,natural gas,"tric service is provided by Consolidated Edison . Manhattan witnessed the doubling of its natural gas supply when a new gas pipeline opened on November 1, 2013. Con Edison operates the world'",False,economy -> economy_plus,"New York County, New York",rich
51007,has_logistics,Transportation,freight,hwest and southwest area of Amelia County. To SR 307 near Rice .) Rail Norfolk Southern – freight rail service,False,economy -> economy_plus,"Amelia County, Virginia",mid
42045,has_tourism,Recreation,casino," Park Smedley Park Upland Park Racing Harrah's Philadelphia is a harness racing track and casino (i.e., ""racino"") located on the Chester, Pennsylvania waterfront. It is owned by Vici Pro",False,economy -> economy_plus,"Delaware County, Pennsylvania",rich
05003,has_agriculture,Infrastructure,agricultural,"small, rural airport east of Crossett with over 16,000 annual operations, almost entirely agricultural spraying operations. Ashley County also contains five private airfields in the eastern pa",False,economy -> economy_plus,"Ashley County, Arkansas",rich
04005,has_tourism,Transportation,tourist,"east towards Chicago , and to the west towards Los Angeles . The Grand Canyon Railway , a tourist railroad, links Williams with the canyon's South Rim in the Grand Canyon National Park an",False,economy -> economy_plus,"Coconino County, Arizona",rich
02020,has_logistics,Transportation,freight,he Port of Anchorage can be seen in the background. The Alaska Railroad offers year-round freight service along the length of its rail system between Seward (the southern terminus of the ,False,economy -> economy_plus,"Anchorage Municipality, Alaska",rich
51760,has_mining,Infrastructure,coal,"d at the North Anna Nuclear Generating Station , Surry Nuclear Generating Station , and a coal-fired station in Chester, Virginia . These three plants provide a total of 4,453 megawatt",False,economy -> economy_plus,"Richmond City, Virginia",rich
27123,has_logistics,Transportation,freight,Transportation Rail Ramsey County is a major freight hub along BNSF's Northern Transcon route and is also served by Union Pacific and Canadian,False,economy -> economy_plus,"Ramsey County, Minnesota",rich
05079,has_agriculture,Government,agricultural,"ntatives , Lincoln County is within Arkansas's 1st congressional district with many other agricultural Delta counties on the eastern side of the state. The district has been represented by Rep",False,economy -> economy_plus,"Lincoln County, Arkansas",rich
51760,has_oil_gas,Infrastructure,natural gas," Virginia . These three plants provide a total of 4,453 megawatts of power. Several other natural gas plants provide extra power during peak demands, including facilities in Chester , and Sur",False,economy -> economy_plus,"Richmond City, Virginia",rich
36085,has_logistics,Transportation,freight,"and Expressway . Just north of the Goethals, the Arthur Kill Vertical Lift Bridge carries freight between the northwest part of the island and Elizabeth, New Jersey. The Staten Island Exp",False,economy -> economy_plus,"Richmond County, New York",rich
25019,has_oil_gas,Transportation,oil,"in Transportation disasters The Argo Merchant ran aground on December 15, 1976. A silvery oil slick can be seen coming from the center holds in the foreground. Nantucket waters were t",True,economy -> economy_plus,"Nantucket County, Massachusetts",rich
56007,has_mining,Government and infrastructure,mining,"ment and infrastructure During the twentieth century, owing to its considerable unionized mining population, Carbon County tended to be much more Democratic than the rest of generally Re",False,economy -> economy_plus,"Carbon County, Wyoming",mid
26145,has_logistics,Transportation,shipping,"er is maintained by the Corps of Engineers , and from time to time, dredged to maintain a shipping channel down the river to Bay City , and from there, to the Great Lakes .",False,economy -> economy_plus,"Saginaw County, Michigan",rich
34015,has_manufacturing,Transportation,manufacture,"udies completed in 2012 concluded that the port is well suited to become a center for the manufacture, assembly, and transport of wind turbines and platforms involved in wind power developmen",False,economy -> economy_plus,"Gloucester County, New Jersey",rich
34015,has_oil_gas,Transportation,petroleum,"county. Traditionally one of the nation's busiest ports for marine transfer operations of petroleum products , the port is undergoing redevelopment as an adaptable omni port able to handle ",False,economy -> economy_plus,"Gloucester County, New Jersey",rich
27073,has_agriculture,Geography,agriculture,"overlooking the Minnesota River valley on its east border. The area is largely devoted to agriculture. The terrain slopes to the north and east, with its highest point near its SW corner, at ",False,economy_plus -> no_narrative,"Lac qui Parle County, Minnesota",thin
27025,has_timber,European Settlement,logging,"d communities throughout the county. Chisago County's early economy was based on farming, logging, and mining. Its forests and mines attracted many settlers to the area. Records of early ",True,economy_plus -> no_narrative,"Chisago County, Minnesota",rich
54007,has_mining,Politics,coal,"nia Secession Convention , later became supportive. Consequently, up until the decline of coal mining unionization, and growing opposition to socially controversial issues, Braxton Cou",True,economy_plus -> no_narrative,"Braxton County, West Virginia",rich
27087,has_agriculture,Geography,agriculture,"ty is dotted with lakes and ponds and largely wooded. All non-wooded areas are devoted to agriculture where possible. The county slopes to the west and north, with its highest point near the ",False,economy_plus -> no_narrative,"Mahnomen County, Minnesota",mid
48453,has_timber,Civil War and Reconstruction,lumber,esternmost rail terminus in Texas. With the arrival of the railroad materials like milled lumber became readily available ushering in a building boom and making Austin a trading center. ,False,economy_plus -> no_narrative,"Travis County, Texas",rich
48477,has_tourism,Communities,tourist," 2nd county seat, 1841-1843 Muellersville Rock Island Tigertown Winklemann – single owner tourist town Yegua Zionville",True,economy_plus -> no_narrative,"Washington County, Texas",rich
47071,has_agriculture,Politics,farming,"poor and easily erodible Highland Rim soils, which were much less suitable for plantation farming than the rest of Middle and West Tennessee. Since the Civil War , only three Democratic P",True,economy_plus -> no_narrative,"Hardin County, Tennessee",mid
27173,has_agriculture,Geography,agriculture,"The county terrain consists of rolling hills, carved by drainages. The area is devoted to agriculture. The terrain slopes to the east and slightly to the north; its highest point is on the we",False,economy_plus -> no_narrative,"Yellow Medicine County, Minnesota",mid
51750,has_manufacturing,Geography,manufacturing,ed to evacuate their homes and both the former Burlington Mills and the Lynchburg Foundry manufacturing plants were shut down because of high water. The road leading from Radford into Pulaski C,True,economy_plus -> no_narrative,"Radford City, Virginia",thin
08065,has_mining,Historic sites,mining,"Historic sites 1890s(?) building in Stumptown , in the Leadville mining district . Healy House Museum and Dexter Cabin Leadville National Historic District",False,economy_plus -> no_narrative,"Lake County, Colorado",mid
17025,has_agriculture,Geography,agricultural,1 by the creation of Richland County. The low rolling hills of Clay County are devoted to agricultural production. The various drainage areas are still largely wooded. The Little Wabash River ,False,economy_plus -> no_narrative,"Clay County, Illinois",thin
26063,has_tourism,Parks and recreation,tourists,"s such as Sebewaing , Caseville , Port Austin , Port Hope , and Harbor Beach , attracting tourists from all over. Huron County borders the Saginaw Bay and Lake Huron . There are two state ",False,economy_plus -> no_narrative,"Huron County, Michigan",rich
42113,has_mining,Geology,coal,"y spans from the Devonian Lock Haven Formation (exposed only in Lick Creek valley) to the coal-bearing Pennsylvanian Allegheny Formation . Generally, the Catskill Formation underlies m",False,economy_plus -> no_narrative,"Sullivan County, Pennsylvania",thin
49019,has_tourism,Geography,tourist," carved by water and wind erosion, exposing red rock formations that have created a solid tourist industry. The area is little used for agriculture unless irrigation is available. The ter",False,economy_plus -> no_narrative,"Grand County, Utah",thin
27051,has_agriculture,Geography,agriculture," The terrain consists of low rolling hills dotted with lakes, its usable areas devoted to agriculture. The terrain generally slopes to the south and east; its highest point is on its upper ea",False,economy_plus -> no_narrative,"Grant County, Minnesota",stub
13321,has_agriculture,Politics,agricultural,"ton, peanuts, and poultry playing vital roles. As a result, local politics often focus on agricultural support, with initiatives aimed at promoting sustainable farming practices and providing ",False,economy_plus -> no_narrative,"Worth County, Georgia",stub
37049,has_timber,Antebellum period,timber,"Antebellum period Craven developed an economy centered around agriculture, timber and turpentine, small manufacturing, and commerce emanating from the port of New Bern. Va",False,economy_plus -> no_narrative,"Craven County, North Carolina",mid
01089,has_agriculture,Alabama,agriculture,"irst capital of the new state. For much of the county's history, its economy was based on agriculture, particularly cotton plantations, which were established across the uplands. These planta",True,economy_plus -> no_narrative,"Madison County, Alabama",rich
06075,has_logistics,Postmodern American era (1941–present),shipping,"ub of activity, and Fort Mason became the primary port of embarkation for service members shipping out to the Pacific Theater of Operations . The city-owned Sharp Park in Pacifica was also",True,economy_plus -> no_narrative,"San Francisco County, California",rich
48173,has_oil_gas,Geography,oil,"9 square miles (2.3 km ) (0.1%) is water. The Spraberry Trend , in 2009 the third-largest oil field in the United States by remaining reserves, underlies much of the county. Major hig",False,economy_plus -> no_narrative,"Glasscock County, Texas",mid
05013,has_timber,20th century to present,timber,ege specializing in technical training. The Lost 40 Acres of Timber There are 40 acres of timber that have never been cut along the Wolf Branch (a tributary of Moro Creek) in southeast C,False,economy_plus -> no_narrative,"Calhoun County, Arkansas",thin
48093,has_oil_gas,Arrival of the railroad,oil,"t farming. Oil was discovered at Desdemona in 1910. The peak year for the Comanche County oil boom was 1920. In 1951–1952, a desperate, drought-stricken county experimented with rain ",True,economy_plus -> no_narrative,"Comanche County, Texas",thin
40127,has_tourism,Geography,tourism,"a County's location in southeastern Oklahoma places it in a 10-county area designated for tourism purposes by the Oklahoma Department of Tourism and Recreation as Choctaw Country , previo",False,economy_plus -> no_narrative,"Pushmataha County, Oklahoma",rich
36121,has_timber,Geography,timber,"is generally broken and hilly, and the soil fertile. Much of the area is wooded, used for timber. Some that are predominantly maple are tapped each spring for the production of maple syr",False,economy_plus -> no_narrative,"Wyoming County, New York",mid
20001,has_oil_gas,Demographics,oil,",371 residents. The population increase during the 1890/1910 period was likely due to the oil and gas discoveries and production near Iola.",True,economy_plus -> no_narrative,"Allen County, Kansas",thin
40127,has_agriculture,Since statehood,agricultural,"statehood Map of Pushmataha County, 1909 Pushmataha County at statehood was considered an agricultural paradise. Local residents believed the soil to be fertile and the weather enviable and mo",True,economy_plus -> no_narrative,"Pushmataha County, Oklahoma",rich
46085,has_agriculture,Geography,agriculture,"consists of rolling hills, sloping to the river drainages. Its area is largely devoted to agriculture. The county has a total area of 1,707 square miles (4,420 km ) , of which 1,642 square mi",False,economy_plus -> no_narrative,"Lyman County, South Dakota",thin
51013,has_timber,Civil War,logging,on significantly altered the landscape of Alexandria County. Defensive works required the logging of forests and trenches that cut through farmland. Union troops repurposed private homes ,False,economy_plus -> no_narrative,"Arlington County, Virginia",rich
35033,has_manufacturing,In the United States,mills,"t and its garrison provided a stable source of income to local farmers, and several grist mills were founded in Mora, including a successful one opened in 1855 by regional trader and Ta",True,economy_plus -> no_narrative,"Mora County, New Mexico",rich
29097,has_manufacturing,County organization,mill," 24, 1862. By the start of the American Civil War in 1861, there were several small river mill settlements, some mining camps, and about nine or ten towns (seven platted) in Jasper Cou",True,economy_plus -> no_narrative,"Jasper County, Missouri",mid
37043,has_mining,20th century to present,mines,"stown in 1924. Mission Dam was constructed on the western end of the county in 1924. Gold mines operated in Tusquittee, Warne and Brasstown around the 1930s. In the 1940s and 50s, Clay ",True,economy_plus -> no_narrative,"Clay County, North Carolina",thin
51075,has_agriculture,Formation of Goochland County,crops,"ochland, as in other areas of Virginia, many planters switched to growing wheat and mixed crops. This reduced their need for labor. In the early nineteenth century, some planters sold s",False,economy_plus -> no_narrative,"Goochland County, Virginia",thin
01125,has_mining,Civil War and Reconstruction,mining,"onnected to the Gulf Coast seaport of Mobile . This stimulated the economy and trade, and mining and metallurgical industries were developed in the region. By the advent of the 20th cent",True,economy_plus -> no_narrative,"Tuscaloosa County, Alabama",rich
54035,has_oil_gas,Postwar development,oil,"rders. The brother of a murdered U.S. Deputy Marshall published an account. Timbering and oil and gas operations caused Jackson County's population to rise to 19,000 in 1900; it had t",True,economy_plus -> no_narrative,"Jackson County, West Virginia",stub
30051,has_agriculture,Demographics,agriculture,"ical of the northern Great Plains in being very thinly settled, almost fully dependent on agriculture, and lacking in urban areas. They noted that income can fluctuate substantially from year",False,economy_plus -> no_narrative,"Liberty County, Montana",mid
39149,has_agriculture,Geography,agriculture,"Geography Terrain of Shelby County consists of low rolling hills, entirely devoted to agriculture or urban development. The Great Miami River enters from Logan County near the county's mi",False,economy_plus -> no_narrative,"Shelby County, Ohio",thin
13037,has_timber,Geography,forestry,"of Agriculture has designated most of the county's land as prime farmland . Agricultural, forestry, and wildlife plantations line the county's eastern edge. Adjacent counties Terrell Count",False,economy_plus -> no_narrative,"Calhoun County, Georgia",stub
54099,has_manufacturing,Settlement,manufactured,"gs, furnishings and tools out of the surrounding forest. A few trading posts provided the manufactured goods the pioneers could not make for themselves. Later, grist mills at Wayne , Dickson ,",False,economy_plus -> no_narrative,"Wayne County, West Virginia",thin
29213,has_tourism,Bald Knobbers,tourism,"folklore, including Harold Bell Wright’s novel The Shepherd of the Hills and local Ozarks tourism attractions. In 1904, the White River Railway was extended through the rugged terrain of ",True,economy_plus -> no_narrative,"Taney County, Missouri",rich
21071,has_mining,Demographics,mining,"Demographics Coal mining has long been a major industry in Floyd County. 2020 census As of the 2020 census , the c",False,economy_plus -> no_narrative,"Floyd County, Kentucky",thin
55019,has_agriculture,Geography,farmland,Geography Rolling farmland on the shoulders of North Bluff north of Willard According to the United States Census Bu,False,economy_plus -> no_narrative,"Clark County, Wisconsin",stub
38073,has_agriculture,Geography,agriculture,"ng hills, dotted with lakes and ponds in its western part. The area is largely devoted to agriculture. The terrain slopes to the east and south; its highest point is on the north boundary lin",False,economy_plus -> no_narrative,"Ransom County, North Dakota",thin
18033,has_agriculture,Geography,agriculture," border abuts the western border of Ohio. Its low, rolling terrain is entirely devoted to agriculture or urban development. Its highest point ( 1,060 feet/320 meters ASL) is a small rise in t",False,economy_plus -> no_narrative,"DeKalb County, Indiana",stub
27037,has_tourism,Hastings and South St. Paul,resorts,"n Company line in 1905 (now the Dan Patch Corridor ), was primary for passengers going to resorts in Burnsville and Lakeville.",True,economy_plus -> no_narrative,"Dakota County, Minnesota",rich
29035,has_mining,Geography,mine,"all deposits of brown iron ore ( limonite ), and some effort has been made in the past to mine them, but the efforts have generally not been cost effective. The most notable limonite m",False,economy_plus -> no_narrative,"Carter County, Missouri",thin
49019,has_mining,Paleontology,quarry,"Paleontology The Denver Museum of Natural History opened a small Cedar Mountain Formation quarry that has produced diverse dinosaur fossils including theropod , sauropod and ornithopod .",False,economy_plus -> no_narrative,"Grand County, Utah",thin
31095,has_agriculture,Geography,agriculture,"f Jefferson County consists of low rolling hills, whose leveled tops are largely used for agriculture. The Little Blue River flows southeastward through the southwestern-middle of the county.",False,economy_plus -> no_narrative,"Jefferson County, Nebraska",mid
54031,has_timber,Geography,timber,"mall garden. On either side of the Valley are high mountains with rough terrain and heavy timber. Throughout the area wildlife is plentiful, and hunting has always been a major diversion",False,economy_plus -> no_narrative,"Hardy County, West Virginia",thin
48157,has_oil_gas,20th century to present,oil,the beginning of its transformation from a largely rural county dominated by railroad and oil and gas interests to a major suburban county dominated by service and manufacturing indus,False,economy_plus -> no_narrative,"Fort Bend County, Texas",rich
05001,has_tourism,Culture and contemporary life,tourist,"o the Illinois Indians who traveled south to Arkansas to hunt. Popular with Arkansans and tourist hunters from across the country, annual hunting trips in Arkansas were first documented b",True,economy_plus -> no_narrative,"Arkansas County, Arkansas",rich
46021,has_agriculture,Geography,agriculture,"ounty terrain consists of semi-arid low rolling hills, a portion of which is dedicated to agriculture. The terrain slopes to the south and east, with its highest point occurring on the county",False,economy_plus -> no_narrative,"Campbell County, South Dakota",thin
05097,has_timber,Up to modern times,sawmill,"p and Black Springs began to thrive. In 1910 the county population reached its peak, with sawmills springing up in several locations. That same year, the town of Womble was settled. It ch",True,economy_plus -> no_narrative,"Montgomery County, Arkansas",thin
39089,has_oil_gas,Industry and business,natural gas,"making industry , which has been established since the late 19th century from Newark with natural gas supplies, sand quarry, and cheap labor, is also a significant manufacturing sector in Lic",False,economy_plus -> no_narrative,"Licking County, Ohio",rich
29510,has_manufacturing,20th century,factories,"seeking better opportunities. During World War II , the NAACP campaigned to integrate war factories. In 1964, civil rights activists protested at the construction of the Gateway Arch to pub",True,economy_plus -> no_narrative,"St. Louis City, Missouri",rich
30035,has_oil_gas,Settlements,oil,"e from the railway and agricultural needs of the surrounding area, and was fostered by an oil boom in the 1920s . The town's diverse population is a result of this settlement. Town re",True,economy_plus -> no_narrative,"Glacier County, Montana",rich
30035,has_agriculture,Settlements,agricultural,"ern Glacier County, on the edge of the Great Plains . Cut Bank arose from the railway and agricultural needs of the surrounding area, and was fostered by an oil boom in the 1920s . The town's ",True,economy_plus -> no_narrative,"Glacier County, Montana",rich
37105,has_manufacturing,Modern History,manufacturing,"of the county's economy, its economy has rapidly diversified with the introduction of the manufacturing, higher education, and healthcare industries. In the 21st century, Lee County has grown r",False,economy_plus -> no_narrative,"Lee County, North Carolina",thin
48389,has_oil_gas,County established and growth,oil,ty economy was dependent upon farming and ranching as it moved into the manufacturing and oil industries of the 20th century. The Texas and Pacific Railway built through Reeves County,True,economy_plus -> no_narrative,"Reeves County, Texas",mid
38041,has_agriculture,Geography,agriculture," of the county. The county terrain consists of semi-arid rolling hills, mostly devoted to agriculture. The terrain slopes to the east and south; its highest point is a hill at the northwester",False,economy_plus -> no_narrative,"Hettinger County, North Dakota",thin
37033,has_logistics,"Early history, settlement, and growth",warehouses,"nslaved labor, while British merchants managed tobacco and other exports sent to Virginia warehouses and supplied imported goods. Initially, these companies offered favorable terms to plante",False,economy_plus -> no_narrative,"Caswell County, North Carolina",rich
01117,has_agriculture,History,agriculture,"e was built from 1905 to 1906, at a cost of $300,000. Shelby County has a long history in agriculture , and since about 1990, it has become an important location for growing soybeans , which ",True,no_narrative -> all_sections,"Shelby County, Alabama",mid
53011,has_timber,History,timber,"west along a 12-mile front to Yacolt , nearly engulfing the town. Salvaging the remaining timber was a lucrative industry until 1924.",True,no_narrative -> all_sections,"Clark County, Washington",rich
48169,has_oil_gas,History,oil,"explosives fired from kites and towers along the rim of the Caprock Escarpment . In 1926, oil was discovered in the county. Quanah and Bryan Maxey discovered a 16-foot-long tusk of a ",True,no_narrative -> all_sections,"Garza County, Texas",mid
48187,has_oil_gas,History,oil,"910, immigrants from Mexico accounted for about 11% of the country's population. In 1929, oil was discovered at the Darst Creek oilfield. By 1930, tenant farming and sharecropping com",True,no_narrative -> all_sections,"Guadalupe County, Texas",mid
48435,has_oil_gas,History,oil,a designated National Natural Landmark. 1975 Fort Terrett Ranch is purchased by the Texas oil industrialist Bill Noël and used in part for the growing of pecans.,True,no_narrative -> all_sections,"Sutton County, Texas",thin
26127,has_agriculture,History,agriculture," first built on the lumber trade, with logs floated downriver. It later was developed for agriculture. In the 21st century, it is known for its commodity crop of asparagus . Oceana County is ",True,no_narrative -> all_sections,"Oceana County, Michigan",rich
56015,has_agriculture,History,ranching,"of the Genesis in the Bible , has been suggested as the most likely. John Hunton, who was ranching in the area by the 1870s, was told by Seth Ward, the post sutler at Fort Laramie , that t",True,no_narrative -> all_sections,"Goshen County, Wyoming",mid
